iter	Passed	Remaining
0	112	111893
1	114	57282
2	116	38857
3	118	29382
4	118	23618
5	120	19900
6	121	17204
7	123	15270
8	125	13772
9	126	12546
10	128	11585
11	129	10701
12	132	10053
13	134	9495
14	135	8905
15	136	8395
16	137	7939
17	138	7548
18	140	7239
19	141	6911
20	142	6656
21	144	6423
22	146	6207
23	147	5984
24	148	5782
25	149	5611
26	151	5444
27	152	5288
28	153	5141
29	154	5005
30	155	4874
31	156	4748
32	158	4633
33	159	4523
34	160	4417
35	162	4339
36	162	4241
37	163	4148
38	164	4057
39	165	3976
40	166	3892
41	167	3815
42	167	3736
43	168	3662
44	169	3591
45	170	3526
46	170	3464
47	171	3401
48	172	3340
49	172	3279
50	173	3222
51	173	3166
52	174	3112
53	174	3062
54	175	3013
55	175	2966
56	176	2920
57	177	2876
58	177	2834
59	178	2793
60	178	2754
61	179	2714
62	180	2677
63	180	2641
64	181	2606
65	181	2572
66	182	2544
67	183	2512
68	183	2481
69	184	2451
70	185	2424
71	185	2396
72	186	2371
73	187	2344
74	187	2317
75	188	2292
76	189	2266
77	189	2241
78	190	2217
79	190	2193
80	191	2171
81	191	2148
82	192	2124
83	192	2104
84	193	2084
85	194	2063
86	194	2044
87	195	2024
88	195	2005
89	196	1987
90	197	1970
91	197	1953
92	198	1937
93	199	1920
94	199	1904
95	200	1889
96	201	1874
97	201	1859
98	202	1845
99	203	1831
100	204	1817
101	204	1803
102	205	1789
103	206	1776
104	206	1763
105	207	1750
106	208	1737
107	208	1726
108	209	1713
109	210	1700
110	210	1688
111	211	1676
112	212	1664
113	212	1652
114	213	1641
115	214	1632
116	214	1621
117	215	1611
118	216	1601
119	217	1591
120	217	1581
121	218	1570
122	218	1561
123	219	1554
124	220	1544
125	221	1535
126	221	1524
127	222	1514
128	222	1505
129	223	1495
130	224	1486
131	224	1479
132	225	1470
133	226	1461
134	226	1453
135	227	1445
136	228	1437
137	228	1429
138	229	1422
139	230	1414
140	230	1406
141	231	1397
142	231	1389
143	232	1381
144	232	1373
145	233	1365
146	233	1357
147	234	1350
148	235	1343
149	235	1336
150	236	1329
151	237	1322
152	237	1315
153	238	1309
154	238	1302
155	239	1296
156	240	1290
157	241	1286
158	242	1280
159	242	1274
160	243	1268
161	244	1262
162	244	1256
163	245	1249
164	245	1243
165	246	1239
166	247	1233
167	248	1228
168	248	1222
169	249	1216
170	249	1211
171	250	1205
172	251	1200
173	251	1195
174	252	1190
175	253	1185
176	254	1181
177	254	1175
178	255	1170
179	255	1165
180	256	1160
181	257	1156
182	258	1152
183	258	1147
184	259	1143
185	260	1138
186	260	1133
187	261	1128
188	261	1123
189	262	1118
190	263	1114
191	263	1109
192	264	1105
193	264	1100
194	265	1096
195	266	1092
196	266	1087
197	267	1083
198	268	1078
199	268	1074
200	269	1070
201	269	1066
202	270	1061
203	271	1057
204	271	1053
205	272	1049
206	272	1044
207	273	1041
208	274	1037
209	274	1033
210	275	1030
211	276	1026
212	276	1022
213	277	1019
214	278	1015
215	278	1011
216	279	1008
217	280	1005
218	280	1001
219	281	998
220	282	994
221	282	991
222	283	987
223	284	984
224	284	980
225	285	977
226	285	973
227	286	970
228	287	966
229	287	963
230	288	959
231	288	956
232	289	952
233	289	949
234	290	946
235	291	942
236	291	939
237	292	936
238	293	933
239	293	930
240	294	927
241	295	924
242	295	921
243	296	918
244	297	915
245	297	912
246	298	910
247	299	907
248	299	904
249	300	901
250	301	898
251	302	896
252	302	893
253	303	891
254	304	888
255	304	885
256	305	882
257	305	879
258	306	876
259	307	874
260	307	871
261	308	868
262	309	865
263	309	863
264	310	860
265	310	857
266	311	854
267	312	852
268	312	850
269	313	847
270	314	844
271	314	842
272	315	839
273	315	836
274	316	834
275	317	831
276	317	829
277	318	826
278	319	824
279	319	821
280	320	819
281	320	817
282	321	814
283	322	812
284	322	809
285	323	807
286	324	805
287	324	802
288	325	800
289	326	798
290	326	796
291	327	793
292	327	791
293	328	789
294	329	787
295	330	785
296	330	782
297	331	780
298	332	778
299	332	776
300	333	773
301	333	771
302	334	770
303	335	767
304	335	765
305	336	763
306	337	760
307	337	758
308	338	756
309	339	754
310	339	752
311	340	750
312	341	749
313	341	747
314	342	745
315	343	743
316	343	741
317	344	738
318	345	736
319	345	735
320	346	733
321	347	731
322	347	729
323	348	727
324	349	725
325	349	723
326	350	721
327	351	719
328	352	718
329	352	716
330	353	714
331	354	712
332	354	710
333	355	708
334	355	706
335	356	704
336	357	702
337	357	700
338	358	698
339	359	696
340	359	695
341	360	692
342	360	691
343	361	689
344	362	687
345	362	685
346	363	683
347	363	681
348	364	679
349	365	678
350	365	676
351	366	674
352	367	672
353	367	671
354	368	669
355	369	667
356	369	665
357	370	664
358	371	662
359	371	660
360	372	659
361	373	657
362	374	656
363	374	654
364	375	653
365	376	651
366	376	649
367	377	648
368	378	646
369	378	645
370	379	643
371	380	641
372	380	640
373	381	638
374	381	636
375	382	634
376	383	633
377	383	631
378	384	630
379	385	628
380	385	626
